"","Year","TFR_female","State","TFR_male","TFR_adj","HDI","HLI_male","HLI_female","LE_male","LE_female","lag_HDI","lag_HLI_female","lag_HLI_male","lag_LE_female","lag_LE_male","lag_HDI2","lag_HLI_female2","lag_HLI_male2","lag_LE_female2","lag_LE_male2","Division"
"16",1984,1.83091450606313,"Illinois",1.9054712718151,2.02253418616223,NA,63.3789215217239,70.9121561616836,70.93,77.77,NA,70.7810053522001,62.7169420070275,77.54,70.45,NA,5009.95071866818,3933.41481471285,6012.4516,4963.2025,"Midwest"
"17",1985,1.86431563485075,"Illinois",1.92093123690114,2.03652602901681,NA,63.2207590132403,71.2550766181649,70.91,77.79,NA,70.9121561616836,63.3789215217239,77.77,70.93,NA,5028.533891499,4016.88769325684,6048.1729,5031.0649,"Midwest"
"18",1986,1.8411198153621,"Illinois",1.88293244119243,1.96820913332694,NA,63.0021037244783,71.1133691552198,70.76,77.79,NA,71.2550766181649,63.2207590132403,77.79,70.91,NA,5077.28594386055,3996.86437021021,6051.2841,5028.2281,"Midwest"
"19",1987,1.90130614596238,"Illinois",1.9278660840428,1.97151919990125,NA,63.5028993487471,71.2214916003043,71.17,77.89,NA,71.1133691552198,63.0021037244783,77.79,70.76,NA,5057.11127260656,3969.26507370992,6051.2841,5006.9776,"Midwest"
"20",1988,1.96663394629802,"Illinois",1.97824519297684,1.99049475866407,NA,63.2761851034872,71.136814120713,70.87,77.79,NA,71.2214916003043,63.5028993487471,77.89,71.17,NA,5072.50086577221,4032.6182256971,6066.8521,5065.1689,"Midwest"
"21",1989,2.04704371223069,"Illinois",2.03621073619554,2.04217296600654,NA,63.2839108608896,70.9439609737447,71.13,78.01,NA,71.136814120713,63.2761851034872,77.79,70.87,NA,5060.44632324488,4003.87560125078,6051.2841,5022.5569,"Midwest"
"22",1990,2.12226938127409,"Illinois",2.09482839956587,2.11087777371263,0.877,63.8145130150755,71.7490202974011,71.37,78.32,NA,70.9439609737447,63.2839108608896,78.01,71.13,NA,5033.04559864421,4004.85337384903,6085.5601,5059.4769,"Midwest"
"23",1991,2.11909699355902,"Illinois",2.07621832766793,2.15669117439325,0.879,63.7766729650351,71.7807870087934,71.44,78.32,0.877,71.7490202974011,63.8145130150755,78.32,71.37,0.769129,5147.92191363688,4072.29207135124,6134.0224,5093.6769,"Midwest"
"24",1992,2.09872559987118,"Illinois",2.04445932194221,2.21171551300367,0.882,64.8214338436032,72.5761631093424,71.9,78.78,0.879,71.7807870087934,63.7766729650351,78.32,71.44,0.772641,5152.48138360177,4067.46401448904,6134.0224,5103.6736,"Midwest"
"25",1993,2.10197547465988,"Illinois",2.04156147434559,2.32919345645222,0.886,64.5158377406229,72.5167160336879,71.6,78.45,0.882,72.5761631093424,64.8214338436032,78.78,71.9,0.777924,5267.29945167387,4201.81828554063,6206.2884,5169.61,"Midwest"
"26",1994,2.09952301662558,"Illinois",2.03103789248336,2.41780702882617,0.889,64.4809497478386,72.9382411535851,71.69,78.55,0.886,72.5167160336879,64.5158377406229,78.45,71.6,0.784996,5258.67410431053,4162.29331937439,6154.4025,5126.56,"Midwest"
"27",1995,2.07078498931107,"Illinois",2.00112864968127,2.41032687172598,0.89,65.1887471957971,72.5101969721351,71.98,78.53,0.889,72.9382411535851,64.4809497478386,78.55,71.69,0.790321,5319.98702257854,4157.79288038329,6170.1025,5139.4561,"Midwest"
"28",1996,2.04895392244436,"Illinois",1.98154722525289,2.35871703907124,0.893,66.3740208759141,73.0267651985895,72.67,78.8,0.89,72.5101969721351,65.1887471957971,78.53,71.98,0.7921,5257.72866493783,4249.57276095754,6166.9609,5181.1204,"Midwest"
"29",1997,2.02601898354064,"Illinois",1.96148669374642,2.29828297531875,0.895,66.9668555870669,73.8487192535201,73.27,79.29,0.893,73.0267651985895,66.3740208759141,78.8,72.67,0.797449,5332.90843536993,4405.51064723628,6209.44,5280.9289,"Midwest"
"30",1998,2.0486363353465,"Illinois",1.98397916125903,2.32007977991566,0.899,66.8915624226408,73.8541575326213,73.37,79.26,0.895,73.8487192535201,66.9668555870669,79.29,73.27,0.801025,5453.63333538524,4484.55974721908,6286.9041,5368.4929,"Midwest"
"31",1999,2.04600436057857,"Illinois",1.98038938015266,2.33684631572546,0.894,66.8355083862273,73.6063830971116,73.34,78.97,0.899,73.8541575326213,66.8915624226408,79.26,73.37,0.808201,5454.43658485325,4474.48112334205,6282.1476,5383.1569,"Midwest"
"32",2000,2.08544978677826,"Illinois",2.01859380029792,2.41319762579689,0.897,67.5184035533472,73.6795268200543,73.76,79.18,0.894,73.6063830971116,66.8355083862273,78.97,73.34,0.799236,5417.89963263876,4466.98518124546,6236.2609,5378.7556,"Midwest"
"33",2001,2.08328886407621,"Illinois",2.01930253038275,2.44524239134818,0.898,68.0265749528136,74.3194860184939,74.05,79.4,0.897,73.6795268200543,67.5184035533472,79.18,73.76,0.804609,5428.6726724271,4558.73481839265,6269.4724,5440.5376,"Midwest"
"34",2002,2.05525261636584,"Illinois",1.99576902464821,2.4049433248057,0.899,68.273946664025,74.6460795552526,74.11,79.49,0.898,74.3194860184939,68.0265749528136,79.4,74.05,0.806404,5523.38600205312,4627.61489981077,6304.36,5483.4025,"Midwest"
"35",2003,2.08581521039073,"Illinois",2.02861494973016,2.33656705997671,0.901,68.6094163333017,74.4127424982586,74.47,79.67,0.899,74.6460795552526,68.273946664025,79.49,74.11,0.808201,5572.03719296909,4661.33179308213,6318.6601,5492.2921,"Midwest"
"36",2004,2.07416676052773,"Illinois",2.02036180183642,2.32407933386361,0.905,69.0858137989056,75.0732351747941,74.99,80,0.901,74.4127424982586,68.6094163333017,79.67,74.47,0.811801,5537.25624611214,4707.25200959632,6347.3089,5545.7809,"Midwest"
"37",2005,2.027,"Illinois",NA,NA,0.907,68.9924329696382,75.3378348899381,75.02,80.1,0.905,75.0732351747941,69.0858137989056,80,74.99,0.819025,5635.99063960994,4772.84966825705,6400,5623.5001,"Midwest"
"38",2006,2.034,"Illinois",NA,NA,0.912,69.4304018379816,75.5396451873417,75.36,80.39,0.907,75.3378348899381,68.9924329696382,80.1,75.02,0.822649,5675.78936590357,4759.95580707002,6416.01,5628.0004,"Midwest"
"39",2007,2.044,"Illinois",NA,NA,0.915,70.0731947072426,75.9115285544054,75.78,80.64,0.912,75.5396451873417,69.4304018379816,80.39,75.36,0.831744,5706.23799502948,4820.5806993836,6462.5521,5679.1296,"Midwest"
"40",2008,1.9955,"Illinois",NA,NA,0.914,69.8457599956919,75.7438676710121,75.65,80.56,0.915,75.9115285544054,70.0731947072426,80.64,75.78,0.837225,5762.56016746631,4910.25261647914,6502.8096,5742.6084,"Midwest"
"41",2009,1.9425,"Illinois",NA,NA,0.916,70.4081004083634,76.3837838680997,76.14,81.03,0.914,75.7438676710121,69.8457599956919,80.56,75.65,0.835396,5737.13348976379,4878.4301893758,6489.9136,5722.9225,"Midwest"
"42",2010,1.882,"Illinois",NA,NA,0.92,70.873621388652,76.7287294865827,76.42,81.33,0.916,76.3837838680997,70.4081004083634,81.03,76.14,0.839056,5834.48243800857,4957.30060311419,6565.8609,5797.2996,"Midwest"
"43",2011,1.8385,"Illinois",NA,NA,0.922,71.0815326676973,76.896659763062,76.51,81.36,0.92,76.7287294865827,70.873621388652,81.33,76.42,0.8464,5887.29792862519,5023.07020874199,6614.5689,5840.0164,"Midwest"
"44",2012,1.8165,"Illinois",NA,NA,0.925,71.2373230584729,77.0690862834236,76.62,81.54,0.922,76.896659763062,71.0815326676973,81.36,76.51,0.850084,5913.09628271613,5052.58428638892,6619.4496,5853.7801,"Midwest"
"45",2013,1.792,"Illinois",NA,NA,0.926,71.8159422464495,77.2621663444604,76.83,81.64,0.925,77.0690862834236,71.2373230584729,81.54,76.62,0.855625,5939.64406056179,5074.75619653723,6648.7716,5870.6244,"Midwest"
"46",2014,1.8095,"Illinois",NA,NA,0.927,71.4479171562206,76.8942683834387,76.75,81.57,0.926,77.2621663444604,71.8159422464495,81.64,76.83,0.857476,5969.44234823908,5157.52956074536,6665.0896,5902.8489,"Midwest"
"47",2015,1.813,"Illinois",NA,NA,0.928,71.3452647016823,77.4631087934999,76.72,81.61,0.927,76.8942683834387,71.4479171562206,81.57,76.75,0.859329,5912.7285102243,5104.80486596216,6653.6649,5890.5625,"Midwest"
